Bill Id,Product Name,Count,Tax,Unit Price,Subtotal
319,WAFER JET 22GR,2,447.0,1176.47,2352.94
319,PASTELES. PALITOS,1,0.0,3500.0,3500.0
319,SNICKERS 52 GR,1,862.0,4537.82,4537.82
319,JUGO DEL VALLE SABORES 500 ML,1,463.0,2436.97,2436.97
319,FRUNAS UND,2,160.0,420.17,840.34
320,EMPANADAS,1,0.0,3000.0,3000.0
320,NECTAR FRUTTO 300ML,1,495.0,2605.04,2605.04
320,CHOCOLATINA KICK 40 GR,1,303.0,1596.64,1596.64
320,CHOCOLATINA KICK 40 GR,1,303.0,1596.64,1596.64
320,HALLS BARRA 25 GR,1,351.0,1848.74,1848.74
320,CANDYRANCH 13GR,2,160.0,420.17,840.34
320,COCOSETTE 50 GR,1,335.0,1764.71,1764.71
320,GATORADE 500 ML,1,623.0,3277.31,3277.31
320,CHOCOLATE LECHE 9OZ,1,0.0,2900.0,2900.0
320,PASTELES. PALITOS,1,0.0,3500.0,3500.0
320,BONYURT 170GR,1,687.0,3613.45,3613.45
320,EMPANADAS,1,0.0,3000.0,3000.0
320,VIVE 380ML,1,447.0,2352.94,2352.94
320,BRICKET TOKAY,1,319.0,1680.67,1680.67
320,EMPANADAS,3,0.0,3000.0,9000.0
320,JET 45GR,1,639.0,3361.34,3361.34
320,SPORADE 500ML,1,447.0,2352.94,2352.94
320,DORITOS DINAMITA 50GR,1,511.0,2689.08,2689.08
320,MANIMOTO 40 GR,1,287.0,1512.61,1512.61
320,GALLETA NUCITA TACO 81 GR,1,527.0,2773.11,2773.11
320,GLACITAS 32GR,1,232.0,1218.49,1218.49
320,CAPUCHINO 7 OZ,1,0.0,3000.0,3000.0
320,SPARTAN 269ML,1,319.0,1680.67,1680.67
320,CAPUCHINO 7 OZ,1,0.0,3000.0,3000.0
320,EMPANADAS,1,0.0,3000.0,3000.0
320,PONKY 33 GR,1,271.0,1428.57,1428.57
320,DE TODITO BBQ 165 GR,1,1421.0,7478.99,7478.99
320,MONSTER 473 ML,1,1309.0,6890.76,6890.76
320,JET CREMA 18 G,1,415.0,2184.87,2184.87
320,SNOW MINT30GR,1,192.0,1008.4,1008.4
320,FUZE TEA 400ML,1,447.0,2352.94,2352.94
320,TRULULU 100GR,1,511.0,2689.08,2689.08
320,MENTA CHAO LÍNEA,1,96.0,504.2,504.2
